Date,Location,Minimum Feeling Temperature(¡ÆC),maximum temperature(¡ÆC),average temperature(¡ÆC),lowest temperature(¡ÆC),Average Relative Humidity(%),average wind speed(m/s),maximum wind speed(m/s),Cold wave warning(O/X)
2023-01-02,732,-5.5,3,-0.2,-2,49,2.4,4.7,X
2023-01-02,734,-9.4,3.4,-3.6,-8.2,69,1.2,3.9,X
2023-01-02,737,-8.5,1.3,-2.1,-4.6,56,2.1,4.7,X
2023-01-02,741,-5.8,3.7,-0.7,-4.1,51,2.6,5.6,X
2023-01-02,754,-6.4,3.3,-0.2,-3.9,63,3,6.2,X
2023-01-02,768,-7.4,3.2,-1.5,-5.7,54,2.4,4.7,X
2023-01-02,789,-6.2,3.9,1.7,-1.7,61,4.8,8.6,X
2023-01-02,801,-13,3.3,-4.5,-11.4,51,1.6,4.4,O
2023-01-02,810,-8.3,4.9,-1,-7.4,30,2.3,5.4,X
2023-01-02,812,-1.1,5.3,-2.9,-8.2,44,0.8,3.3,X
2023-01-02,813,-11.2,4.6,-1.4,-8.7,33,2.1,4.6,X
2023-01-02,815,-8.1,4.4,-3.5,-10.6,43,1.4,3.4,X
2023-01-02,822,-11.5,2.7,-4.6,-10.5,46,1.8,4.3,X
2023-01-02,823,-13.3,3.7,-4.6,-10.7,54,1.3,4.2,O
2023-01-02,825,-6.8,5,-0.2,-2.9,33,2.1,5.7,X
2023-01-02,827,-5.8,4.1,0.7,-1.5,24,2.6,4.8,X
2023-01-02,876,-6.1,7.2,1.6,-1.9,22,2.4,4.8,X
2023-01-02,90,-7.6,4.2,-0.5,-5.1,24.3,1.4,3.1,X
2023-01-02,907,-4.5,8.2,3.4,-0.4,19,3.1,5.6,X
2023-01-02,918,-6.1,7.4,1.8,-3.2,30,3.1,6,X
2023-01-02,919,-4.6,5.1,0.1,-6.6,32,2.3,4.8,X
2023-01-02,920,-12,6.1,-1.4,-8.8,47,1.4,3.7,X
2023-01-02,93,-10.6,-0.3,-7.7,-14,58.6,0.8,2.3,O
2023-01-02,932,-4.8,6.7,1.5,-3.2,40,1.8,4.2,X
2023-01-02,95,-6,-2.4,-10.2,-15.7,66.8,0.6,2.1,O
2023-01-02,98,-9.1,-0.3,-6.8,-11.6,52.1,0.6,2.4,O
2023-01-02,99,-6.5,-0.7,-8.4,-14.6,60.3,0.5,2.9,O
2023-01-03,104,-7.1,6.8,0.4,-3.6,21.4,2.1,4.3,X
2023-01-03,106,-4.2,7.3,2.4,-1.6,18.3,2.6,5.5,X
2023-01-03,108,-13,0.6,-5,-9,49,1.8,3.9,X
2023-01-03,112,-13.2,-1.3,-4.6,-8.4,44.6,2,4.2,X
2023-01-03,114,-6.8,0,-6,-11.6,57.3,0.7,2.1,O
2023-01-03,115,-1.5,5.3,3.1,1.4,53.9,2.3,5,X
2023-01-03,119,-12.8,-0.2,-6.3,-11.4,62.8,1.4,4,X
2023-01-03,121,-5.9,0.8,-6.7,-13.8,58.3,0.7,2.9,O
2023-01-03,127,-8.1,0.5,-7.8,-14,60.1,0.8,2.8,O
2023-01-03,129,-11.2,1.6,-4.8,-10.2,70.4,1.3,4.8,X
2023-01-03,130,-8.3,7.7,0.9,-3.1,23.1,3.5,5.4,X
2023-01-03,131,-4.9,1.7,-3.3,-8,52.8,0.8,3.2,X
2023-01-03,133,-11.5,3.4,-3.5,-9,55,1.6,4,X
2023-01-03,135,-12.1,0.8,-3.8,-8.7,51.8,3.9,7.8,X
2023-01-03,136,-9.9,3.4,-3.7,-11.4,43.4,1.8,5.3,O
2023-01-03,137,-11.6,2.7,-2.3,-5.7,45.1,3,4.8,X
2023-01-03,138,-9.5,6.3,0.6,-3.4,30.9,3.8,6.6,X
2023-01-03,140,-6.6,3.4,-3.3,-8.4,67.8,1.4,5.5,X
2023-01-03,143,-8.4,4.6,-0.3,-3.5,49.4,3.4,5.6,X
2023-01-03,146,-10.7,2.9,-2.1,-7.2,65.5,1.6,3.4,X
2023-01-03,152,-7,5.8,0.9,-3.9,23,2.3,4,X
